ID,Issue,Description,Reported By:,Date and time Issue was reported to CE,Item Child Count,Environment,Date and time customer was unblocked,# of Customers Impacted,Status,Priority,Assigned To,Solution,Defect number,Root Cause Analysis,Service Impacted,Time taken to unblock the customer,Source of the Problem,Date and Time CE resolved the issue,App Created By,App Modified By,Content Type,Folder Child Count,Modified,Modified By,Time Taken CE to Resolve the Issue,Item Type,Path
532,Microsoft Office 365 (CA) tenants being deleted because of missing MaintenanceSKU,"Office 365 CA customer tenants were deleted because the MaintenanceSKU (See MaintenanceSKU tab in attached spreadsheet, SKUs in row 22 and beyond were added on 5/22) were incorrect.  This came to our attention via a SNOW ticket (INC0869484) indicating customer could no longer access O365. Turned out his tenant was deleted in February (because maintenance sku was missing). After 90 days Microsoft removes the customer's data. So the customer's data could not be recovered.  Researching other Micorsoft Office 365 (CA) tenants, several were identified as having been online but were now deleted. In order to preserve customer data where possible, the customers identified with an ""A""  in the attached spreadsheet had their Subscription renewed using the CSP portal. The tenants marked with an ""x"" or ""G"" indicate the subscription was deleted more than 90 days ago and data cannot be recovered.  The tenants where data can be recovered will be reactivated.",Development,7/12/2018 0:00,0,Production,7/15/2018 0:00,12,Closed,P1,,Identify customers that have a SUSPENDED office 365 subscription. Mark the office subscription as active and undelete the CE tenant,,,Office 365 CA,,CE Metadata Issue,,,,Item,0,7/16/2018 14:11,"Doe, Richard",,Item,sites/na/rd/ce/Lists/Live Site Issues
531,Customer 0123456789 requires manual intervention,"Customer has two entitlements for Sage Fixed Assests, same entitlement different serial numbers. Deleted the expired entitlement and re-send the servicerequest.",Development,6/25/2018 14:30,0,Production,6/25/2018 14:00,1,Closed,P2,"Doe, Richard;#983",Deleted the expired entitlement and re-send the servicerequest.,,,Sage Fixed Assets Online,,Upgrade Issues,6/25/2018 14:00,,,Item,0,6/25/2018 14:49,"Doe, Richard",,Item,sites/na/rd/ce/Lists/Live Site Issues
530,Customer 0123456789 Service Request requires manual intervention,Customer 0123456789 Service Request requires manual intervention  A TenantUpdate was attempted for Sage Timeslips Premium for this customer. Customer had two entitlements for User License with different serial numbers. One of the entitlements was expired.   Deleted the expired entitlement and resent the MIR service requests. All closed successfully,Development,6/25/2018 0:00,0,Production,6/25/2018 0:00,1,Closed,P2,"Doe, Richard;#983",Deleted the expired entitlement and resent the MIR service requests. All closed successfully,,,Sage Timeslips eCenter,,Upgrade Issues,6/25/2018 0:00,,,Item,0,6/25/2018 13:24,"Doe, Richard",,Item,sites/na/rd/ce/Lists/Live Site Issues
529,Customer 0123456789 tenant is not created for Sage 100 ERP ,"An order came from back office, but CE did not create a Sage 100 ERP tenant as expected.",External Customer,4/19/2018 8:30,0,Production,4/19/2018 11:30,1,Closed,P1,"Li, Doe;#146","Manually created a tenant from SCP to unblock the customer, then research on the product SKU for this order.",,The product SKU in the order is not IN the CE system,Sage 100,,CE Metadata Issue,4/19/2018 9:30,,,Item,0,4/25/2018 9:07,"Li, Doe",,Item,sites/na/rd/ce/Lists/Live Site Issues
528,Sage Business Center consent issue,"  When an Office 365 global admin login to Sage an app and perform consent which require the admin permission, we got an error “ it needs permission to access resources in your organization that only an admin can grant. Please ask an admin to grant permission to this app before you can use it.”, If we log in to Office 365 admin portal, we can verify the user is global admin user.  ",External Customer,4/20/2018 7:00,0,Production,4/21/2018 2:30,4,Closed,P1,"Li, Doe;#146","Opened a critical case with Microsoft with LSM,, case number 118042018044228. Microsoft engineering team found the breaking change, and rolled back the breaking change. That fixed the issue.",,"
",Office 365 CA;#Office 365 FR;#Office 365 US;#Office 365 UK,,Azure Outages,4/20/2018 8:30,,,Item,0,4/23/2018 15:30,"Li, Doe",,Item,sites/na/rd/ce/Lists/Live Site Issues
527,Office 365 Account that has gone suspended -  INC0732959 ,"Customer ID: ddddd 
Customer Name: In Touch Accounting  
Customer has an Office 365 Account that has gone suspended in the Microsoft Cloud portal, and has been completely deleted from the Sage Cloud Portal. From our records the account should still be active, and we need to get the original tenant back in place as soon as possible, and back into the Sage Cloud Portal. We also would like information on why the account went straight from active to being deleted in the SCP instead of being suspended.",External Customer,3/5/2018 9:00,0,Production,3/5/2018 9:30,1,Closed,P1,"Doe, John;#1554",Un-Delete the tenant and reactivate Office subscription,,,Office 365 UK,,Azure Outages,3/5/2018 9:30,,,Item,0,3/23/2018 14:55,"Doe, John",,Item,sites/na/rd/ce/Lists/Live Site Issues
526,"UK Account transfer failed for 64256790, 64256949 and 64254058",The account transfer from tenant was provisioned but not online yet.,Development,2/22/2018 7:30,0,Production,2/22/2018 8:30,3,Closed,P1,"Li, Doe;#146","Re-processed the ""transfer to"" order and then deleted the ""transfer from"" tenant in SCP.",,"
",Office 365 UK,,Azure Outages,2/22/2018 8:30,,,Item,0,2/22/2018 8:48,"Li, Doe",,Item,sites/na/rd/ce/Lists/Live Site Issues
525,"4007045975 - Invalid email, Requires Manual Intervention",The tenant creation service request failed during the validation checks. The customer contact has an invalid example@gmail.com,2/20/2018 13:05,0,Production,2/20/2018 13:30,1,Closed,P1,"Li, Doe;#146",Corrected the email example@gmail.com and resent the tenant creation service request.,,"
",Office 365 US,,Back Office Data Missing or Incorrect,2/20/2018 13:30,,,Item,0,2/20/2018 16:15,"Li, Doe",,Item,sites/na/rd/ce/Lists/Live Site Issues
524,Invalid email address for O365 US,example@gmail.com address is invalid,External Customer,2/15/2018 15:00,0,Production,2/16/2018 11:30,1,Closed,P2,"Doe, Doe;#986",Customer needs to provide valid email address for service buyer,,"
",Office 365 US,,Back Office Data Missing or Incorrect,2/15/2018 15:00,,,Item,0,4/2/2018 11:37,"Doe, Monique",,Item,sites/na/rd/ce/Lists/Live Site Issues
523,Duplicate payroll elements found in SLS data,"Customer: 00000000000
When looking at the XML that is being downloaded from SLS, I found it has duplicate payroll elements.

One for the new date and one with the expired, and the last one wins, so that is why the customer is expired....",External Customer,2/15/2018 11:00,0,Production,2/15/2018 11:30,1,Closed,P1,"Doe, Richard;#983",Using SCP perform update on tenant.,"INC0716457, D-37058","
",Sage 100,,CE Defect,2/15/2018 11:30,,,Item,0,2/16/2018 10:09,"Doe, Doe",,Item,sites/na/rd/ce/Lists/Live Site Issues
